validador_diario_24hs,carr,carros_sales_force,territorio,empresa,modalidade,v,caixas_enviadas,caixas_retornadas,pct_caixas_retornadas,objetivo_de_retorno,situacao_dia,data,obs
BR0075485R46204,C470741,BR0075485,TD Curitiba,FADEL,M1,R,32.0,0,0.0,22.4,-22.4,2026-07-01,
BR0075488R46204,C470038,BR0075488,TD Curitiba,FADEL,M1,R,30.0,,,21.0,,2026-07-01,
BR0075494R46204,C470024,BR0075494,TD Curitiba,FADEL,M1,R,12.0,,,8.399999999999999,,2026-07-01,
BR0075517R46204,C470831,BR0075517,TD Curitiba,FADEL,M1,R,12.0,,,8.399999999999999,,2026-07-01,
BR0075564R46204,C470740,BR0075564,TD Curitiba,FADEL,M1,R,61.0,11,0.18032786885245902,42.699999999999996,-31.699999999999996,2026-07-01,
BR0075595R46204,C470912,BR0075595,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-01,
BR0075598R46204,C470749,BR0075598,TD Curitiba,FADEL,M1,R,23.0,,,16.099999999999998,,2026-07-01,
BR0075727R46204,C470905,BR0075727,TD Curitiba,FADEL,M1,R,27.0,,,18.9,,2026-07-01,
BR0075816R46204,C470744,BR0075816,TD Curitiba,FADEL,M1A,R,,5,,0.0,5.0,2026-07-01,
BR0075950R46204,C470901,BR0075950,TD Curitiba,FADEL,M1A,R,22.0,,,15.399999999999999,,2026-07-01,
BR0219554R46204,C470025,BR0219554,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-01,
BR0219562R46204,C470026,BR0219562,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-01,
BR0075813R46204,C470750,BR0075813,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-01,
BR0219544R46204,C470003,BR0219544,TD Curitiba,FADEL,M1,R,15.0,,,10.5,,2026-07-01,
BR0219545R46204,C470010,BR0219545,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-01,
BR0219549R46204,C470021,BR0219549,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-01,
BR0075703R46204,C470742,BR0075703,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-01,
BR0075865R46204,C470745,BR0075865,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-01,
BR0075849R46204,C470900,BR0075849,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-01,
BR0075512R46204,C470902,BR0075512,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-01,
BR0075841R46204,C470743,BR0075841,TD Curitiba,FADEL,M1,R,3.0,,,2.0999999999999996,,2026-07-01,
BR0075785R46204,C470904,BR0075785,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-01,
BR0075542R46204,C470868,BR0075542,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-01,
BR0422998R46204,C470027,BR0422998,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-01,
BR0422999R46204,C470028,BR0422999,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-01,
BR0423000R46204,C470033,BR0423000,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-01,
BR0423001R46204,C470101,BR0423001,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-01,
BR0423002R46204,C470102,BR0423002,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-01,
BR0075882R46204,C470870,BR0075882,TD Curitiba,FADEL,M1,R,17.0,,,11.899999999999999,,2026-07-01,
BR0219552R46204,C470023,BR0219552,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-01,
BR0219546R46204,C470014,BR0219546,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-01,
BR0219599R46204,C470808,BR0219599,TD Curitiba,FADEL,M1,R,19.0,,,13.299999999999999,,2026-07-01,
BR0219600R46204,C470809,BR0219600,TD Curitiba,FADEL,M1,R,16.0,0,0.0,11.2,-11.2,2026-07-01,
BR0219601R46204,C470810,BR0219601,TD Curitiba,FADEL,M1,R,31.0,,,21.7,,2026-07-01,
BR0219603R46204,C470823,BR0219603,TD Curitiba,FADEL,M1,R,15.0,,,10.5,,2026-07-01,
BR0219605R46204,C470824,BR0219605,TD Curitiba,FADEL,M1,R,23.0,0,0.0,16.099999999999998,-16.099999999999998,2026-07-01,
BR0219606R46204,C470825,BR0219606,TD Curitiba,FADEL,M1,R,29.0,,,20.299999999999997,,2026-07-01,
BR0219609R46204,C470827,BR0219609,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-01,
BR0219610R46204,C470828,BR0219610,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-01,
