4_dig,c470,br,tipo,3pl,territorio,24h_ou_168h,ce_br
4068,C470912,BR0075595,FADEL - FIXA - FIORINO,FADEL,TD Curitiba,24 horas,C470912 - BR0075595
4071,C470975,BR0075567,CM TRANS - SPOT - 1,CM TRANS,TD Curitiba,24 horas,C470975 - BR0075567
9207,C470204,BR0423003,CM TRANS - SPOT - 2,CM TRANS,TD Curitiba,24 horas,C470204 - BR0423003
4827,C470705,BR0423004,CM TRANS - SPOT - 3,CM TRANS,TD Curitiba,24 horas,C470705 - BR0423004
6284,C470753,BR0423005,CM TRANS - SPOT - 4,CM TRANS,TD Curitiba,24 horas,C470753 - BR0423005
6273,C470741,BR0075485,FADEL - FIXA - FIORINO,FADEL,TD Curitiba,24 horas,C470741 - BR0075485
6280,C470749,BR0075598,FADEL - FIXA - FIORINO,FADEL,TD Curitiba,24 horas,C470749 - BR0075598
4061,C470905,BR0075727,FADEL - FIXA - FIORINO,FADEL,TD Curitiba,24 horas,C470905 - BR0075727
5070,C470024,BR0075494,FADEL - FIXA - VAN,FADEL,TD Curitiba,24 horas,C470024 - BR0075494
6710,C470038,BR0075488,FADEL - FIXA - VAN,FADEL,TD Curitiba,24 horas,C470038 - BR0075488
6272,C470740,BR0075564,FADEL - FIXA - VAN,FADEL,TD Curitiba,24 horas,C470740 - BR0075564
6276,C470744,BR0075816,FADEL - FIXA - VAN,FADEL,TD Curitiba,24 horas,C470744 - BR0075816
7020,C470831,BR0075517,FADEL - FIXA - VAN,FADEL,TD Curitiba,24 horas,C470831 - BR0075517
4057,C470901,BR0075950,FADEL - FIXA - VAN,FADEL,TD Curitiba,24 horas,C470901 - BR0075950
7033,C470866,BR0075507,FADEL - GROCERY - VAN,FADEL,TD Curitiba,24 horas,C470866 - BR0075507
6278,C470746,BR0075802,FADEL - GROCERY - VAN,FADEL,TD Curitiba,24 horas,C470746 - BR0075802
4059,C470903,BR0075781,FADEL - GROCERY - VAN,FADEL,TD Curitiba,24 horas,C470903 - BR0075781
4062,C470906,BR0075522,FADEL - GROCERY - VAN,FADEL,TD Curitiba,24 horas,C470906 - BR0075522
4067,C470911,BR0075549,FADEL - GROCERY - VAN,FADEL,TD Curitiba,24 horas,C470911 - BR0075549
6281,C470750,BR0075813,FADEL - SPOT - FIORINO,FADEL,TD Curitiba,24 horas,C470750 - BR0075813
4770,C470003,BR0219544,FADEL - SPOT - FIORINO,FADEL,TD Curitiba,24 horas,C470003 - BR0219544
9193,C470010,BR0219545,FADEL - SPOT - FIORINO,FADEL,TD Curitiba,24 horas,C470010 - BR0219545
9196,C470014,BR0219546,FADEL - SPOT - FIORINO,FADEL,TD Curitiba,24 horas,C470014 - BR0219546
9197,C470021,BR0219549,FADEL - SPOT - FIORINO,FADEL,TD Curitiba,24 horas,C470021 - BR0219549
5069,C470023,BR0219552,FADEL - SPOT - FIORINO,FADEL,TD Curitiba,24 horas,C470023 - BR0219552
5071,C470025,BR0219554,FADEL - SPOT - FIORINO,FADEL,TD Curitiba,24 horas,C470025 - BR0219554
5072,C470026,BR0219562,FADEL - SPOT - FIORINO,FADEL,TD Curitiba,24 horas,C470026 - BR0219562
5073,C470027,BR0422998,FADEL - SPOT - FIORINO,FADEL,TD Curitiba,24 horas,C470027 - BR0422998
5074,C470028,BR0422999,FADEL - SPOT - FIORINO,FADEL,TD Curitiba,24 horas,C470028 - BR0422999
9198,C470033,BR0423000,FADEL - SPOT - FIORINO,FADEL,TD Curitiba,24 horas,C470033 - BR0423000
9201,C470101,BR0423001,FADEL - SPOT - FIORINO,FADEL,TD Curitiba,24 horas,C470101 - BR0423001
9202,C470102,BR0423002,FADEL - SPOT - FIORINO,FADEL,TD Curitiba,24 horas,C470102 - BR0423002
4051,C470737,BR0075672,FADEL - SPOT - FIORINO,FADEL,TD Curitiba,24 horas,C470737 - BR0075672
6274,C470742,BR0075703,FADEL - SPOT - FIORINO,FADEL,TD Curitiba,24 horas,C470742 - BR0075703
6275,C470743,BR0075841,FADEL - SPOT - FIORINO,FADEL,TD Curitiba,24 horas,C470743 - BR0075841
6277,C470745,BR0075865,FADEL - SPOT - FIORINO,FADEL,TD Curitiba,24 horas,C470745 - BR0075865
7035,C470868,BR0075542,FADEL - SPOT - FIORINO,FADEL,TD Curitiba,24 horas,C470868 - BR0075542
7037,C470870,BR0075882,FADEL - SPOT - FIORINO,FADEL,TD Curitiba,24 horas,C470870 - BR0075882
4056,C470900,BR0075849,FADEL - SPOT - FIORINO,FADEL,TD Curitiba,24 horas,C470900 - BR0075849
4058,C470902,BR0075512,FADEL - SPOT - FIORINO,FADEL,TD Curitiba,24 horas,C470902 - BR0075512
4060,C470904,BR0075785,FADEL - SPOT - FIORINO,FADEL,TD Curitiba,24 horas,C470904 - BR0075785
4072,C470976,BR0442236,LITORAL,TV CTB2,TV Curitiba 2,168 horas,C470976 - BR0442236
4073,C470980,BR0442237,LITORAL,TV CTB2,TV Curitiba 2,168 horas,C470980 - BR0442237
4781,C470999,BR0442243,LITORAL,TV CTB2,TV Curitiba 2,168 horas,C470999 - BR0442243
7025,C470842,BR0347316,LITORAL,TV CTB2,TV Curitiba 2,168 horas,C470842 - BR0443716
7024,C470841,BR0347315,LITORAL,TV CTB2,TV Curitiba 2,168 horas,C470841 - BR0443715
4065,C470909,BR0442232,PONTA GROSSA,TV CTB2,TV Curitiba 2,168 horas,C470909 - BR0442232
4780,C470958,BR0442242,PONTA GROSSA,TV CTB2,TV Curitiba 2,168 horas,C470958 - BR0442242
4254,C470977,BR0442240,PONTA GROSSA,TV CTB2,TV Curitiba 2,168 horas,C470977 - BR0442240
7001,C470801,BR0442251,PONTA GROSSA,TV CTB1,TV Curitiba 1,168 horas,C470801 - BR0442251
7002,C470802,BR0442252,SEDE,TV CTB1,TV Curitiba 1,168 horas,C470802 - BR0442252
6290,C470759,BR0442245,SUDOESTE,TV CTB2,TV Curitiba 2,168 horas,C470759 - BR0442245
6291,C470760,BR0442246,SUDOESTE,TV CTB2,TV Curitiba 2,168 horas,C470760 - BR0442246
7003,C470803,BR0442702,SUDOESTE,TV Cas,TV Cascavel,168 horas,C470803 - BR0442702
4063,C470907,BR0442230,SUDOESTE,TV Cas,TV Cascavel,168 horas,C470907 - BR0442230
4064,C470908,BR0442231,SUDOESTE,TV Cas,TV Cascavel,168 horas,C470908 - BR0442231
4066,C470910,BR0442233,SUDOESTE,TV CTB2,TV Curitiba 2,168 horas,C470910 - BR0442233
4069,C470915,BR0442234,SUDOESTE,TV CTB2,TV Curitiba 2,168 horas,C470915 - BR0442234
4070,C470920,BR0442235,SUDOESTE,TV CTB2,TV Curitiba 2,168 horas,C470920 - BR0442235
1086,C470923,BR0442185,SUDOESTE,TV Cas,TV Cascavel,168 horas,C470923 - BR0442185
1087,C470924,BR0442186,SUDOESTE,TV Cas,TV Cascavel,168 horas,C470924 - BR0442186
7008,C470808,BR0219599,FADEL - FIXO - FIORINO,FADEL,TD Curitiba,24 horas,C470808 - BR0219599
7009,C470809,BR0219600,FADEL - FIXO - FIORINO,FADEL,TD Curitiba,24 horas,C470809 - BR0219600
7010,C470810,BR0219601,FADEL - FIXO - FIORINO,FADEL,TD Curitiba,24 horas,C470810 - BR0219601
7013,C470823,BR0219603,FADEL - FIXO - FIORINO,FADEL,TD Curitiba,24 horas,C470823 - BR0219603
7014,C470824,BR0219605,FADEL - FIXO - FIORINO,FADEL,TD Curitiba,24 horas,C470824 - BR0219605
7015,C470825,BR0219606,FADEL - FIXO - FIORINO,FADEL,TD Curitiba,24 horas,C470825 - BR0219606
7017,C470827,BR0219609,FADEL - SPOT - FIORINO,FADEL,TD Curitiba,24 horas,C470827 - BR0219609
7018,C470828,BR0219610,FADEL - SPOT - FIORINO,FADEL,TD Curitiba,24 horas,C470828 - BR0219610
6279,C470747,BR0075807,FADEL - SPOT - FIORINO,FADEL,TD Curitiba,24 horas,C470747 - BR0075807
4253,C470748,BR0075798,FADEL - SPOT - FIORINO,FADEL,TD Curitiba,24 horas,C470748 - BR0075798
6283,C470752,BR0075774,FADEL - SPOT - FIORINO,FADEL,TD Curitiba,24 horas,C470752 - BR0075774
4055,C470844,BR0075712,FADEL - SPOT - FIORINO,FADEL,TD Curitiba,24 horas,C470844 - BR0075712
7034,C470867,BR0075783,FADEL - SPOT - FIORINO,FADEL,TD Curitiba,24 horas,C470867 - BR0075783
5068,C470022,BR0075562,FADEL - SPOT - FIORINO,FADEL,TD Curitiba,24 horas,C470022 - BR0075562
4052,C470739,BR0075684,FADEL - SPOT - FIORINO,FADEL,TD Curitiba,24 horas,C470739 - BR0075684
6282,C470751,BR0075652,FADEL - SPOT - FIORINO,FADEL,TD Curitiba,24 horas,C470751 - BR0075652
7016,C470826,BR0219608,FADEL - SPOT - FIORINO,FADEL,TD Curitiba,24 horas,C470826 - BR0219608
7024,C470841,BR0347315,LITORAL,TV CTB2,TV Curitiba 2,168 horas,C470841 - BR0347315
9058,C470852,BR0348596,LITORAL,TV CTB2,TV Curitiba 2,168 horas,C470852 - BR0348596
4072,,,,,,,
4073,,,,,,,
4781,,,,,,,
7025,,,,,,,
7024,,,,,,,
4065,,,,,,,
4780,,,,,,,
4254,,,,,,,
7001,,,,,,,
7002,,,,,,,
6290,,,,,,,
6291,,,,,,,
7003,,,,,,,
4063,,,,,,,
4064,,,,,,,
4066,,,,,,,
4069,,,,,,,
4070,,,,,,,
1086,,,,,,,
1087,,,,,,,
