br,c470
BR0442236,C470976
BR0442237,C470980
BR0442243,C470999
BR0347315,C470841
BR0348596,C470852
BR0442232,C470909
BR0442242,C470958
BR0442240,C470977
BR0442251,C470801
BR0442252,C470802
BR0442245,C470759
BR0442246,C470760
BR0442702,C470803
BR0442230,C470907
BR0442231,C470908
BR0442233,C470910
BR0442234,C470915
BR0442235,C470920
BR0442185,C470923
BR0442186,C470924
BR0075567,C470975
BR0423003,C470204
BR0423004,C470705
BR0423005,C470753
BR0219599,C470808
BR0219600,C470809
BR0219601,C470810
BR0219605,C470824
BR0219603,C470823
BR0219606,C470825
BR0075598,C470749
BR0075485,C470741
BR0075564,C470740
BR0075488,C470038
BR0075950,C470901
BR0075727,C470905
BR0075517,C470831
BR0075494,C470024
BR0219610,C470828
BR0219609,C470827
BR0075816,C470744
BR0075507,C470866
BR0423002,C470102
BR0423001,C470101
BR0423000,C470033
BR0422999,C470028
BR0422998,C470027
BR0219552,C470023
BR0075882,C470870
BR0219554,C470025
BR0075542,C470868
BR0075785,C470904
BR0075841,C470743
BR0075703,C470742
BR0219546,C470014
BR0219545,C470010
BR0219544,C470003
BR0075512,C470902
BR0075865,C470745
BR0219562,C470026
BR0075849,C470900
BR0219608,C470826
BR0075684,C470739
BR0075652,C470751
BR0075562,C470022
BR0219549,C470021
BR0075595,C470912
BR0075813,C470750
BR0075672,C470737
BR0075807,C470747
BR0075798,C470748
BR0075783,C470867
BR0075774,C470752
BR0075712,C470844
BR0075802,C470746
BR0075522,C470906
BR0075549,C470911
BR0075781,C470903
